step 6160; step_loss: 0.4034
step 6170; step_loss: 0.2868
step 6180; step_loss: 0.4220
step 6190; step_loss: 0.4571
step 6200; step_loss: 0.5423
step 6210; step_loss: 0.3726
step 6220; step_loss: 0.3966
step 6230; step_loss: 0.3083
step 6240; step_loss: 0.4184
step 6250; step_loss: 0.3657
step 6260; step_loss: 0.4236
step 6270; step_loss: 0.4420
step 6280; step_loss: 0.3497
step 6290; step_loss: 0.3519
step 6300; step_loss: 0.3320
step 6310; step_loss: 0.3047
step 6320; step_loss: 0.2899
step 6330; step_loss: 0.3125
step 6340; step_loss: 0.4204
step 6350; step_loss: 0.4181
step 6360; step_loss: 0.4334
step 6370; step_loss: 0.4080
step 6380; step_loss: 0.3626
step 6390; step_loss: 0.3123
step 6400; step_loss: 0.3711
step 6410; step_loss: 0.2589
step 6420; step_loss: 0.4016
step 6430; step_loss: 0.3142
step 6440; step_loss: 0.3387
step 6450; step_loss: 0.3030
step 6460; step_loss: 0.4575
step 6470; step_loss: 0.4157
step 6480; step_loss: 0.3786
step 6490; step_loss: 0.3697
step 6500; step_loss: 0.3405
step 6510; step_loss: 0.4579
step 6520; step_loss: 0.3452
step 6530; step_loss: 0.4888
step 6540; step_loss: 0.2566
step 6550; step_loss: 0.2509
step 6560; step_loss: 0.3215
step 6570; step_loss: 0.3365
step 6580; step_loss: 0.4151
step 6590; step_loss: 0.3191
step 6600; step_loss: 0.2435
step 6610; step_loss: 0.3668
step 6620; step_loss: 0.3246
step 6630; step_loss: 0.3170
step 6640; step_loss: 0.3641
step 6650; step_loss: 0.3463
step 6660; step_loss: 0.4469
step 6670; step_loss: 0.3631
step 6680; step_loss: 0.3393
step 6690; step_loss: 0.3121
step 6700; step_loss: 0.4564
step 6710; step_loss: 0.4338
step 6720; step_loss: 0.3360
step 6730; step_loss: 0.3213
step 6740; step_loss: 0.2517
step 6750; step_loss: 0.3485
step 6760; step_loss: 0.3469
step 6770; step_loss: 0.5023
step 6780; step_loss: 0.3229
step 6790; step_loss: 0.4028
step 6800; step_loss: 0.3333
step 6810; step_loss: 0.4069
step 6820; step_loss: 0.3610
step 6830; step_loss: 0.4317
step 6840; step_loss: 0.4630
step 6850; step_loss: 0.3014
step 6860; step_loss: 0.3414
step 6870; step_loss: 0.3605
step 6880; step_loss: 0.3640
step 6890; step_loss: 0.3762
step 6900; step_loss: 0.3352
step 6910; step_loss: 0.3242
step 6920; step_loss: 0.4120
step 6930; step_loss: 0.3048
step 6940; step_loss: 0.2444
step 6950; step_loss: 0.3742
step 6960; step_loss: 0.3673
step 6970; step_loss: 0.4340
step 6980; step_loss: 0.3607
step 6990; step_loss: 0.3351

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.372 | 0.649 | 0.978 | 1.121 | 1.338 | 1.785 |

============================
Global step:         7000
Learning rate:       0.0005
Step-time (ms):     32.6518
Train loss avg:      0.3677
--------------------------
Val loss:            0.5780
srnn loss:           0.5083
============================

Saving the model...
done in 320.73 ms
step 7000; step_loss: 0.3083
step 7010; step_loss: 0.3317
step 7020; step_loss: 0.3467
step 7030; step_loss: 0.3405
step 7040; step_loss: 0.4333
step 7050; step_loss: 0.3122
step 7060; step_loss: 0.3464
step 7070; step_loss: 0.4424
step 7080; step_loss: 0.3061
step 7090; step_loss: 0.4582
step 7100; step_loss: 0.4783
step 7110; step_loss: 0.4465
step 7120; step_loss: 0.3625
step 7130; step_loss: 0.2850
step 7140; step_loss: 0.4282
step 7150; step_loss: 0.4207
step 7160; step_loss: 0.3007
step 7170; step_loss: 0.3972
step 7180; step_loss: 0.4118
step 7190; step_loss: 0.4076
step 7200; step_loss: 0.2768
step 7210; step_loss: 0.3016
step 7220; step_loss: 0.3647
step 7230; step_loss: 0.3940
step 7240; step_loss: 0.3807
step 7250; step_loss: 0.3383
step 7260; step_loss: 0.4024
step 7270; step_loss: 0.3126
step 7280; step_loss: 0.6008
step 7290; step_loss: 0.2841
step 7300; step_loss: 0.4208
step 7310; step_loss: 0.7070
step 7320; step_loss: 0.3594
step 7330; step_loss: 0.4135
step 7340; step_loss: 0.3487
step 7350; step_loss: 0.3213
step 7360; step_loss: 0.3747
step 7370; step_loss: 0.4025
step 7380; step_loss: 0.3244
step 7390; step_loss: 0.3377
step 7400; step_loss: 0.4084
step 7410; step_loss: 0.3662
step 7420; step_loss: 0.4504
step 7430; step_loss: 0.4200
step 7440; step_loss: 0.3110
step 7450; step_loss: 0.3887
step 7460; step_loss: 0.3998
step 7470; step_loss: 0.3347
step 7480; step_loss: 0.4159
step 7490; step_loss: 0.2665
step 7500; step_loss: 0.3205
step 7510; step_loss: 0.4125
step 7520; step_loss: 0.2826
step 7530; step_loss: 0.3726
step 7540; step_loss: 0.6143
step 7550; step_loss: 0.3210
step 7560; step_loss: 0.3979
step 7570; step_loss: 0.3033
step 7580; step_loss: 0.3409
step 7590; step_loss: 0.4499
step 7600; step_loss: 0.7090
step 7610; step_loss: 0.3324
step 7620; step_loss: 0.3491
step 7630; step_loss: 0.3111
step 7640; step_loss: 0.4160
step 7650; step_loss: 0.3364
step 7660; step_loss: 0.4675
step 7670; step_loss: 0.3784
step 7680; step_loss: 0.3954
step 7690; step_loss: 0.3052
step 7700; step_loss: 0.4230
step 7710; step_loss: 0.4857
step 7720; step_loss: 0.4423
step 7730; step_loss: 0.3583
step 7740; step_loss: 0.3995
step 7750; step_loss: 0.3074
step 7760; step_loss: 0.2549
step 7770; step_loss: 0.3888
step 7780; step_loss: 0.3247
step 7790; step_loss: 0.3044
step 7800; step_loss: 0.4304
step 7810; step_loss: 0.3171
step 7820; step_loss: 0.3087
step 7830; step_loss: 0.2394
step 7840; step_loss: 0.3292
step 7850; step_loss: 0.3673
step 7860; step_loss: 0.5687
step 7870; step_loss: 0.4345
step 7880; step_loss: 0.4000
step 7890; step_loss: 0.3880
step 7900; step_loss: 0.2786
step 7910; step_loss: 0.3109
step 7920; step_loss: 0.3182
step 7930; step_loss: 0.3171
step 7940; step_loss: 0.3599
step 7950; step_loss: 0.3780
step 7960; step_loss: 0.2873
step 7970; step_loss: 0.5358
