step 6980; step_loss: 0.1647
step 6990; step_loss: 0.1183

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.324 | 0.499 | 0.697 | 0.794 | 0.996 | 1.495 |

============================
Global step:         7000
Learning rate:       0.0005
Step-time (ms):     37.2812
Train loss avg:      0.1427
--------------------------
Val loss:            0.5522
srnn loss:           0.4342
============================

Saving the model...
done in 171.03 ms
step 7000; step_loss: 0.1516
step 7010; step_loss: 0.1073
step 7020; step_loss: 0.1789
step 7030; step_loss: 0.1481
step 7040; step_loss: 0.1218
step 7050; step_loss: 0.1279
step 7060; step_loss: 0.1171
step 7070; step_loss: 0.1436
step 7080; step_loss: 0.1092
step 7090; step_loss: 0.1605
step 7100; step_loss: 0.1212
step 7110; step_loss: 0.0984
step 7120; step_loss: 0.1322
step 7130; step_loss: 0.1107
step 7140; step_loss: 0.1075
step 7150; step_loss: 0.1815
step 7160; step_loss: 0.1167
step 7170; step_loss: 0.1434
step 7180; step_loss: 0.1497
step 7190; step_loss: 0.0911
step 7200; step_loss: 0.1067
step 7210; step_loss: 0.1410
step 7220; step_loss: 0.1114
step 7230; step_loss: 0.1241
step 7240; step_loss: 0.1321
step 7250; step_loss: 0.1236
step 7260; step_loss: 0.1290
step 7270; step_loss: 0.1272
step 7280; step_loss: 0.1154
step 7290; step_loss: 0.1394
step 7300; step_loss: 0.1106
step 7310; step_loss: 0.1304
step 7320; step_loss: 0.1238
step 7330; step_loss: 0.1629
step 7340; step_loss: 0.1185
step 7350; step_loss: 0.1009
step 7360; step_loss: 0.0958
step 7370; step_loss: 0.1489
step 7380; step_loss: 0.1001
step 7390; step_loss: 0.1619
step 7400; step_loss: 0.1023
step 7410; step_loss: 0.1543
step 7420; step_loss: 0.1385
step 7430; step_loss: 0.1349
step 7440; step_loss: 0.2843
step 7450; step_loss: 0.1250
step 7460; step_loss: 0.1344
step 7470; step_loss: 0.1388
step 7480; step_loss: 0.1630
step 7490; step_loss: 0.1525
step 7500; step_loss: 0.1117
step 7510; step_loss: 0.2336
step 7520; step_loss: 0.1199
step 7530; step_loss: 0.1102
step 7540; step_loss: 0.1230
step 7550; step_loss: 0.1385
step 7560; step_loss: 0.1170
step 7570; step_loss: 0.0987
step 7580; step_loss: 0.1518
step 7590; step_loss: 0.0949
step 7600; step_loss: 0.1295
step 7610; step_loss: 0.0943
step 7620; step_loss: 0.2038
step 7630; step_loss: 0.1044
step 7640; step_loss: 0.1019
step 7650; step_loss: 0.0872
step 7660; step_loss: 0.1274
step 7670; step_loss: 0.1266
step 7680; step_loss: 0.1217
step 7690; step_loss: 0.1172
step 7700; step_loss: 0.1002
step 7710; step_loss: 0.1029
step 7720; step_loss: 0.2140
step 7730; step_loss: 0.1223
step 7740; step_loss: 0.0917
step 7750; step_loss: 0.1096
step 7760; step_loss: 0.0936
step 7770; step_loss: 0.1598
step 7780; step_loss: 0.1071
step 7790; step_loss: 0.1223
step 7800; step_loss: 0.1037
step 7810; step_loss: 0.1014
step 7820; step_loss: 0.0916
step 7830; step_loss: 0.1157
step 7840; step_loss: 0.1051
step 7850; step_loss: 0.1042
step 7860; step_loss: 0.1079
step 7870; step_loss: 0.1200
step 7880; step_loss: 0.1266
step 7890; step_loss: 0.1277
step 7900; step_loss: 0.1046
step 7910; step_loss: 0.1037
step 7920; step_loss: 0.1079
step 7930; step_loss: 0.1402
step 7940; step_loss: 0.1233
step 7950; step_loss: 0.1569
step 7960; step_loss: 0.0885
step 7970; step_loss: 0.1298
step 7980; step_loss: 0.1009
step 7990; step_loss: 0.1389

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.307 | 0.469 | 0.683 | 0.780 | 0.943 | 1.360 |

============================
Global step:         8000
Learning rate:       0.0005
Step-time (ms):     37.5394
Train loss avg:      0.1273
--------------------------
Val loss:            0.4658
srnn loss:           0.3876
============================

Saving the model...
done in 206.70 ms
