model,step,step_loss
RNN + velocity all,3590,0.3255
RNN + velocity all,3600,0.3159
RNN + velocity all,3610,0.2536
RNN + velocity all,3620,0.6003
RNN + velocity all,3630,0.279
RNN + velocity all,3640,0.2621
RNN + velocity all,3650,1.3106
RNN + velocity all,3660,0.2645
RNN + velocity all,3670,0.2914
RNN + velocity all,3680,0.2957
RNN + velocity all,3690,0.2325
RNN + velocity all,3700,0.3729
RNN + velocity all,3710,0.2754
RNN + velocity all,3720,0.2378
RNN + velocity all,3730,0.266
RNN + velocity all,3740,0.3442
RNN + velocity all,3750,0.2051
RNN + velocity all,3760,0.2736
RNN + velocity all,3770,0.265
RNN + velocity all,3780,0.3021
RNN + velocity all,3790,0.3236
RNN + velocity all,3800,0.2177
RNN + velocity all,3810,0.3866
RNN + velocity all,3820,0.4127
RNN + velocity all,3830,0.2298
RNN + velocity all,3840,0.7513
RNN + velocity all,3850,0.3375
RNN + velocity all,3860,0.3263
RNN + velocity all,3870,0.3375
RNN + velocity all,3880,0.3125
RNN + velocity all,3890,0.2586
RNN + velocity all,3900,0.2714
RNN + velocity all,3910,0.3045
RNN + velocity all,3920,0.2986
RNN + velocity all,3930,0.3695
RNN + velocity all,3940,0.2411
RNN + velocity all,3950,0.7401
RNN + velocity all,3960,0.559
RNN + velocity all,3970,0.3287
RNN + velocity all,3980,0.2654
RNN + velocity all,3990,0.464
RNN + velocity all,4000,0.2438
RNN + velocity all,4010,0.2767
RNN + velocity all,4020,0.2289
RNN + velocity all,4030,0.4815
RNN + velocity all,4040,0.3988
RNN + velocity all,4050,0.3259
RNN + velocity all,4060,0.3401
RNN + velocity all,4070,0.263
RNN + velocity all,4080,0.2655
RNN + velocity all,4090,0.4419
RNN + velocity all,4100,0.3622
RNN + velocity all,4110,0.2477
RNN + velocity all,4120,0.6361
RNN + velocity all,4130,0.2474
RNN + velocity all,4140,0.3878
RNN + velocity all,4150,0.3877
RNN + velocity all,4160,0.8513
RNN + velocity all,4170,0.3173
RNN + velocity all,4180,0.2179
RNN + velocity all,4190,0.4019
RNN + velocity all,4200,0.3039
RNN + velocity all,4210,0.3983
RNN + velocity all,4220,0.4353
RNN + velocity all,4230,0.3236
RNN + velocity all,4240,0.6503
RNN + velocity all,4250,0.4251
RNN + velocity all,4260,0.3905
RNN + velocity all,4270,0.2534
RNN + velocity all,4280,0.2837
RNN + velocity all,4290,0.2881
RNN + velocity all,4300,1.0244
RNN + velocity all,4310,0.5682
RNN + velocity all,4320,0.3543
RNN + velocity all,4330,0.5203
RNN + velocity all,4340,0.2769
RNN + velocity all,4350,0.32
RNN + velocity all,4360,0.2886
RNN + velocity all,4370,0.2894
RNN + velocity all,4380,0.2632
RNN + velocity all,4390,0.2137
RNN + velocity all,4400,0.8382
RNN + velocity all,4410,0.2543
RNN + velocity all,4420,0.2228
RNN + velocity all,4430,0.2604
RNN + velocity all,4440,0.4005
RNN + velocity all,4450,0.3252
RNN + velocity all,4460,0.3184
RNN + velocity all,4470,0.5132
RNN + velocity all,4480,0.2683
RNN + velocity all,4490,0.3269
RNN + velocity all,4500,0.2918
RNN + velocity all,4510,0.3346
RNN + velocity all,4520,0.5406
RNN + velocity all,4530,0.2335
RNN + velocity all,4540,0.264
RNN + velocity all,4550,0.4717
RNN + velocity all,4560,0.3508
RNN + velocity all,4570,0.2534
RNN + velocity all,4580,0.2353
RNN + velocity all,4590,0.2264
RNN + velocity all,4600,0.503
RNN + velocity all,4610,0.2158
RNN + velocity all,4620,0.3387
RNN + velocity all,4630,0.1717
RNN + velocity all,4640,0.196
RNN + velocity all,4650,0.3958
RNN + velocity all,4660,0.2917
RNN + velocity all,4670,0.3542
RNN + velocity all,4680,0.3261
RNN + velocity all,4690,0.2517
RNN + velocity all,4700,0.3057
RNN + velocity all,4710,0.3403
RNN + velocity all,4720,0.3564
RNN + velocity all,4730,0.2209
RNN + velocity all,4740,0.4963
RNN + velocity all,4750,1.1462
RNN + velocity all,4760,0.3154
RNN + velocity all,4770,0.2479
RNN + velocity all,4780,0.3083
RNN + velocity all,4790,0.2106
RNN + velocity all,4800,0.3979
RNN + velocity all,4810,0.3005
RNN + velocity all,4820,0.3434
RNN + velocity all,4830,0.2357
RNN + velocity all,4840,0.3505
RNN + velocity all,4850,0.1898
RNN + velocity all,4860,0.2829
RNN + velocity all,4870,0.287
RNN + velocity all,4880,0.2221
RNN + velocity all,4890,0.2557
RNN + velocity all,4900,0.2993
RNN + velocity all,4910,0.2283
RNN + velocity all,4920,0.2895
RNN + velocity all,4930,0.3754
RNN + velocity all,4940,0.261
RNN + velocity all,4950,0.2648
RNN + velocity all,4960,0.5089
RNN + velocity all,4970,0.2002
RNN + velocity all,4980,0.28
RNN + velocity all,4990,0.4
RNN + velocity all,5000,0.1991
RNN + velocity all,5010,0.72
RNN + velocity all,5020,0.2915
RNN + velocity all,5030,0.2676
RNN + velocity all,5040,0.28
RNN + velocity all,5050,0.2818
RNN + velocity all,5060,0.1992
RNN + velocity all,5070,0.3371
RNN + velocity all,5080,0.3539
RNN + velocity all,5090,0.3902
RNN + velocity all,5100,0.3511
RNN + velocity all,5110,0.4346
RNN + velocity all,5120,0.212
RNN + velocity all,5130,0.3121
RNN + velocity all,5140,0.3025
RNN + velocity all,5150,0.3165
RNN + velocity all,5160,0.2823
RNN + velocity all,5170,0.37
RNN + velocity all,5180,0.2875
RNN + velocity all,5190,0.2403
RNN + velocity all,5200,0.4141
RNN + velocity all,5210,0.289
RNN + velocity all,5220,0.2325
RNN + velocity all,5230,0.2557
RNN + velocity all,5240,0.2837
RNN + velocity all,5250,0.439
RNN + velocity all,5260,0.2268
RNN + velocity all,5270,0.3228
RNN + velocity all,5280,0.2667
RNN + velocity all,5290,0.5222
RNN + velocity all,5300,0.3541
RNN + velocity all,5310,1.1418
RNN + velocity all,5320,0.3313
RNN + velocity all,5330,0.2848
RNN + velocity all,5340,0.3538
RNN + velocity all,5350,0.3786
RNN + velocity all,5360,0.2411
RNN + velocity all,5370,0.2757
RNN + velocity all,5380,0.5854
RNN + velocity all,5390,0.3023
RNN + velocity all,5400,0.2457
RNN + velocity all,5410,0.3109
RNN + velocity all,5420,0.2052
RNN + velocity all,5430,0.2372
RNN + velocity all,5440,0.2659
RNN + velocity all,5450,0.2596
RNN + velocity all,5460,0.2798
RNN + velocity all,5470,0.2202
RNN + velocity all,5480,0.2415
RNN + velocity all,5490,0.2618
RNN + velocity all,5500,0.8952
RNN + velocity all,5510,0.2615
RNN + velocity all,5520,0.2545
RNN + velocity all,5530,0.3034
RNN + velocity all,5540,0.4755
RNN + velocity all,5550,0.2793
