model,step,step_loss
Transformer 128/2,3390,0.6446
Transformer 128/2,3400,0.7735
Transformer 128/2,3410,0.6862
Transformer 128/2,3420,0.648
Transformer 128/2,3430,0.5348
Transformer 128/2,3440,0.5377
Transformer 128/2,3450,0.7499
Transformer 128/2,3460,0.6692
Transformer 128/2,3470,0.6321
Transformer 128/2,3480,0.7338
Transformer 128/2,3490,0.6037
Transformer 128/2,3500,0.625
Transformer 128/2,3510,0.5245
Transformer 128/2,3520,0.6272
Transformer 128/2,3530,0.6375
Transformer 128/2,3540,0.6554
Transformer 128/2,3550,0.6327
Transformer 128/2,3560,0.7411
Transformer 128/2,3570,0.5785
Transformer 128/2,3580,0.656
Transformer 128/2,3590,0.8022
Transformer 128/2,3600,0.6022
Transformer 128/2,3610,0.5997
Transformer 128/2,3620,0.6329
Transformer 128/2,3630,0.6126
Transformer 128/2,3640,0.6085
Transformer 128/2,3650,0.6072
Transformer 128/2,3660,0.6537
Transformer 128/2,3670,0.5731
Transformer 128/2,3680,0.6559
Transformer 128/2,3690,0.6174
Transformer 128/2,3700,0.8455
Transformer 128/2,3710,0.5906
Transformer 128/2,3720,0.6478
Transformer 128/2,3730,0.5585
Transformer 128/2,3740,0.5694
Transformer 128/2,3750,0.6519
Transformer 128/2,3760,0.7098
Transformer 128/2,3770,0.6781
Transformer 128/2,3780,0.5878
Transformer 128/2,3790,0.5752
Transformer 128/2,3800,0.6301
Transformer 128/2,3810,0.5192
Transformer 128/2,3820,0.5452
Transformer 128/2,3830,0.6161
Transformer 128/2,3840,0.6365
Transformer 128/2,3850,0.7117
Transformer 128/2,3860,0.6721
Transformer 128/2,3870,0.7454
Transformer 128/2,3880,0.6909
Transformer 128/2,3890,0.6604
Transformer 128/2,3900,0.6954
Transformer 128/2,3910,0.6047
Transformer 128/2,3920,0.6532
Transformer 128/2,3930,0.6764
Transformer 128/2,3940,0.6817
Transformer 128/2,3950,0.6416
Transformer 128/2,3960,0.5983
Transformer 128/2,3970,0.6462
Transformer 128/2,3980,0.5762
Transformer 128/2,3990,0.7721
Transformer 128/2,4000,0.7642
Transformer 128/2,4010,0.6384
Transformer 128/2,4020,0.6913
Transformer 128/2,4030,0.6518
Transformer 128/2,4040,0.6172
Transformer 128/2,4050,0.7116
Transformer 128/2,4060,0.6873
Transformer 128/2,4070,0.6186
Transformer 128/2,4080,0.6547
Transformer 128/2,4090,0.657
Transformer 128/2,4100,0.6451
Transformer 128/2,4110,0.6223
Transformer 128/2,4120,0.6284
Transformer 128/2,4130,0.472
Transformer 128/2,4140,0.6215
Transformer 128/2,4150,0.6496
Transformer 128/2,4160,0.5813
Transformer 128/2,4170,0.625
Transformer 128/2,4180,0.7209
Transformer 128/2,4190,0.6791
Transformer 128/2,4200,0.5718
Transformer 128/2,4210,0.7906
Transformer 128/2,4220,0.6058
Transformer 128/2,4230,0.7135
Transformer 128/2,4240,0.4817
Transformer 128/2,4250,0.7328
Transformer 128/2,4260,0.6823
Transformer 128/2,4270,0.6803
Transformer 128/2,4280,0.5546
Transformer 128/2,4290,0.6729
Transformer 128/2,4300,0.608
Transformer 128/2,4310,0.6506
Transformer 128/2,4320,0.7201
Transformer 128/2,4330,0.6642
Transformer 128/2,4340,0.6947
Transformer 128/2,4350,0.6947
Transformer 128/2,4360,0.752
Transformer 128/2,4370,0.7734
Transformer 128/2,4380,0.6409
Transformer 128/2,4390,0.7534
Transformer 128/2,4400,0.6507
Transformer 128/2,4410,0.5654
Transformer 128/2,4420,0.8121
Transformer 128/2,4430,0.7234
Transformer 128/2,4440,0.7492
Transformer 128/2,4450,0.707
Transformer 128/2,4460,0.6183
Transformer 128/2,4470,0.6696
Transformer 128/2,4480,0.6367
Transformer 128/2,4490,0.5952
Transformer 128/2,4500,0.6034
Transformer 128/2,4510,0.5707
Transformer 128/2,4520,0.6088
Transformer 128/2,4530,0.6121
Transformer 128/2,4540,0.5656
Transformer 128/2,4550,0.5879
Transformer 128/2,4560,0.6459
Transformer 128/2,4570,0.5636
Transformer 128/2,4580,0.585
Transformer 128/2,4590,0.5535
Transformer 128/2,4600,0.5384
Transformer 128/2,4610,0.5461
Transformer 128/2,4620,0.673
Transformer 128/2,4630,0.5885
Transformer 128/2,4640,0.5065
Transformer 128/2,4650,0.6581
Transformer 128/2,4660,0.5664
Transformer 128/2,4670,0.5942
Transformer 128/2,4680,0.682
Transformer 128/2,4690,0.5833
Transformer 128/2,4700,0.7435
Transformer 128/2,4710,0.6078
Transformer 128/2,4720,0.5294
Transformer 128/2,4730,0.5709
Transformer 128/2,4740,0.5869
Transformer 128/2,4750,0.5849
Transformer 128/2,4760,0.7616
Transformer 128/2,4770,0.7417
Transformer 128/2,4780,0.6984
Transformer 128/2,4790,0.6541
Transformer 128/2,4800,0.5599
Transformer 128/2,4810,0.58
Transformer 128/2,4820,0.58
Transformer 128/2,4830,0.5135
Transformer 128/2,4840,0.5741
Transformer 128/2,4850,0.6682
Transformer 128/2,4860,0.5626
Transformer 128/2,4870,0.6025
Transformer 128/2,4880,0.5397
Transformer 128/2,4890,0.5192
Transformer 128/2,4900,0.6066
Transformer 128/2,4910,0.571
Transformer 128/2,4920,0.6682
Transformer 128/2,4930,0.6115
Transformer 128/2,4940,0.71
Transformer 128/2,4950,0.5273
Transformer 128/2,4960,0.5642
Transformer 128/2,4970,0.6057
Transformer 128/2,4980,0.6592
Transformer 128/2,4990,0.6589
Transformer 128/2,5000,0.5524
Transformer 128/2,5010,0.4301
Transformer 128/2,5020,0.5766
Transformer 128/2,5030,0.4635
Transformer 128/2,5040,0.5141
Transformer 128/2,5050,0.5948
Transformer 128/2,5060,0.5424
Transformer 128/2,5070,0.5913
Transformer 128/2,5080,0.5486
Transformer 128/2,5090,0.6302
Transformer 128/2,5100,0.6437
Transformer 128/2,5110,0.5013
Transformer 128/2,5120,0.6117
Transformer 128/2,5130,0.6292
Transformer 128/2,5140,0.58
Transformer 128/2,5150,0.7072
Transformer 128/2,5160,0.6965
Transformer 128/2,5170,0.5765
Transformer 128/2,5180,0.5704
Transformer 128/2,5190,0.5877
Transformer 128/2,5200,0.6256
Transformer 128/2,5210,0.5138
Transformer 128/2,5220,0.6537
Transformer 128/2,5230,0.6072
Transformer 128/2,5240,0.5198
Transformer 128/2,5250,0.5535
Transformer 128/2,5260,0.6457
Transformer 128/2,5270,0.5691
Transformer 128/2,5280,0.559
Transformer 128/2,5290,0.5722
Transformer 128/2,5300,0.5782
Transformer 128/2,5310,0.5897
Transformer 128/2,5320,0.5922
Transformer 128/2,5330,0.5183
Transformer 128/2,5340,0.5592
Transformer 128/2,5350,0.524
Transformer 128/2,5360,0.5696
Transformer 128/2,5370,0.6315
Transformer 128/2,5380,0.6092
Transformer 128/2,5390,0.4543
Transformer 128/2,5400,0.6036
Transformer 128/2,5410,0.5736
Transformer 128/2,5420,0.623
Transformer 128/2,5430,0.6012
Transformer 128/2,5440,0.587
Transformer 128/2,5450,0.5965
Transformer 128/2,5460,0.6276
Transformer 128/2,5470,0.6253
Transformer 128/2,5480,0.6054
Transformer 128/2,5490,0.6525
Transformer 128/2,5500,0.5977
Transformer 128/2,5510,0.571
Transformer 128/2,5520,0.5542
Transformer 128/2,5530,0.581
Transformer 128/2,5540,0.6252
Transformer 128/2,5550,0.4647
Transformer 128/2,5560,0.5271
Transformer 128/2,5570,0.6943
Transformer 128/2,5580,0.5861
Transformer 128/2,5590,0.5872
Transformer 128/2,5600,0.4829
Transformer 128/2,5610,0.4544
Transformer 128/2,5620,0.602
Transformer 128/2,5630,0.5738
Transformer 128/2,5640,0.6214
Transformer 128/2,5650,0.5328
Transformer 128/2,5660,0.6199
Transformer 128/2,5670,0.5773
Transformer 128/2,5680,0.5254
Transformer 128/2,5690,0.5138
Transformer 128/2,5700,0.5686
Transformer 128/2,5710,0.4804
Transformer 128/2,5720,0.5371
Transformer 128/2,5730,0.6025
Transformer 128/2,5740,0.755
Transformer 128/2,5750,0.5669
Transformer 128/2,5760,0.4841
Transformer 128/2,5770,0.516
Transformer 128/2,5780,0.6506
Transformer 128/2,5790,0.5755
Transformer 128/2,5800,0.5469
Transformer 128/2,5810,0.5673
Transformer 128/2,5820,0.5238
Transformer 128/2,5830,0.5723
Transformer 128/2,5840,0.4479
Transformer 128/2,5850,0.6038
Transformer 128/2,5860,0.4225
Transformer 128/2,5870,0.5568
Transformer 128/2,5880,0.6056
Transformer 128/2,5890,0.5245
Transformer 128/2,5900,0.521
Transformer 128/2,5910,0.5631
Transformer 128/2,5920,0.4824
Transformer 128/2,5930,0.6072
Transformer 128/2,5940,0.5536
Transformer 128/2,5950,0.549
Transformer 128/2,5960,0.4915
Transformer 128/2,5970,0.6615
Transformer 128/2,5980,0.5347
Transformer 128/2,5990,0.4456
Transformer 128/2,6000,0.5591
Transformer 128/2,6010,0.5589
Transformer 128/2,6020,0.5683
Transformer 128/2,6030,0.6025
Transformer 128/2,6040,0.4772
Transformer 128/2,6050,0.5481
Transformer 128/2,6060,0.6448
Transformer 128/2,6070,0.6215
Transformer 128/2,6080,0.536
Transformer 128/2,6090,0.5594
Transformer 128/2,6100,0.5143
Transformer 128/2,6110,0.6171
Transformer 128/2,6120,0.5148
Transformer 128/2,6130,0.5472
Transformer 128/2,6140,0.4844
Transformer 128/2,6150,0.4948
Transformer 128/2,6160,0.4606
Transformer 128/2,6170,0.5351
Transformer 128/2,6180,0.526
Transformer 128/2,6190,0.5402
Transformer 128/2,6200,0.5013
Transformer 128/2,6210,0.5713
Transformer 128/2,6220,0.5213
Transformer 128/2,6230,0.5757
Transformer 128/2,6240,0.5271
Transformer 128/2,6250,0.4643
Transformer 128/2,6260,0.5721
Transformer 128/2,6270,0.5532
Transformer 128/2,6280,0.6129
Transformer 128/2,6290,0.5495
Transformer 128/2,6300,0.4912
Transformer 128/2,6310,0.6226
Transformer 128/2,6320,0.4846
Transformer 128/2,6330,0.6098
Transformer 128/2,6340,0.5553
Transformer 128/2,6350,0.4348
Transformer 128/2,6360,0.5271
Transformer 128/2,6370,0.6432
Transformer 128/2,6380,0.5274
Transformer 128/2,6390,0.4728
Transformer 128/2,6400,0.5729
Transformer 128/2,6410,0.4892
Transformer 128/2,6420,0.4162
Transformer 128/2,6430,0.5382
Transformer 128/2,6440,0.6434
Transformer 128/2,6450,0.5394
Transformer 128/2,6460,0.563
Transformer 128/2,6470,0.5424
Transformer 128/2,6480,0.6047
Transformer 128/2,6490,0.5448
Transformer 128/2,6500,0.5237
Transformer 128/2,6510,0.4697
Transformer 128/2,6520,0.6355
Transformer 128/2,6530,0.6101
Transformer 128/2,6540,0.5977
Transformer 128/2,6550,0.5722
Transformer 128/2,6560,0.5888
Transformer 128/2,6570,0.5305
Transformer 128/2,6580,0.5729
Transformer 128/2,6590,0.5991
Transformer 128/2,6600,0.4049
Transformer 128/2,6610,0.5391
Transformer 128/2,6620,0.5749
Transformer 128/2,6630,0.5215
Transformer 128/2,6640,0.5665
Transformer 128/2,6650,0.6722
Transformer 128/2,6660,0.6086
Transformer 128/2,6670,0.7093
Transformer 128/2,6680,0.4874
Transformer 128/2,6690,0.6209
Transformer 128/2,6700,0.5645
Transformer 128/2,6710,0.6418
Transformer 128/2,6720,0.6039
Transformer 128/2,6730,0.5223
Transformer 128/2,6740,0.5608
Transformer 128/2,6750,0.5403
Transformer 128/2,6760,0.4442
Transformer 128/2,6770,0.529
Transformer 128/2,6780,0.626
Transformer 128/2,6790,0.5501
Transformer 128/2,6800,0.4791
Transformer 128/2,6810,0.5473
Transformer 128/2,6820,0.5143
Transformer 128/2,6830,0.5437
Transformer 128/2,6840,0.4259
Transformer 128/2,6850,0.5686
Transformer 128/2,6860,0.5351
Transformer 128/2,6870,0.6068
Transformer 128/2,6880,0.4613
