model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
Transformer + velocity all,4000,purchases,0.595,0.84,1.195,1.256,1.639,2.616
Transformer + velocity all,4000,sitting,0.418,0.673,1.105,1.298,1.502,2.189
Transformer + velocity all,4000,sittingdown,0.433,0.816,1.212,1.376,1.638,2.48
Transformer + velocity all,4000,takingphoto,0.281,0.562,0.882,1.034,1.184,1.751
Transformer + velocity all,4000,waiting,0.353,0.682,1.167,1.355,1.7,2.568
Transformer + velocity all,4000,walkingdog,0.599,0.974,1.28,1.406,1.796,2.518
Transformer + velocity all,4000,walkingtogether,0.327,0.638,0.877,0.927,1.037,1.73
Transformer + velocity all,5000,walking,0.379,0.628,0.814,0.888,0.952,1.177
Transformer + velocity all,5000,eating,0.269,0.455,0.645,0.751,0.901,1.348
Transformer + velocity all,5000,smoking,0.282,0.516,0.924,0.971,1.073,1.888
Transformer + velocity all,5000,discussion,0.321,0.698,0.966,1.01,1.347,1.779
Transformer + velocity all,5000,directions,0.409,0.623,0.776,0.871,0.966,1.448
Transformer + velocity all,5000,greeting,0.542,0.879,1.261,1.431,1.717,1.969
Transformer + velocity all,5000,phoning,0.633,1.161,1.582,1.714,1.553,1.879
Transformer + velocity all,5000,posing,0.325,0.641,1.206,1.473,1.674,2.397
Transformer + velocity all,5000,purchases,0.588,0.827,1.14,1.202,1.548,2.367
Transformer + velocity all,5000,sitting,0.415,0.659,1.073,1.259,1.41,1.924
Transformer + velocity all,5000,sittingdown,0.42,0.799,1.186,1.345,1.57,2.328
Transformer + velocity all,5000,takingphoto,0.276,0.548,0.835,0.966,1.078,1.421
Transformer + velocity all,5000,waiting,0.342,0.671,1.148,1.337,1.655,2.294
Transformer + velocity all,5000,walkingdog,0.583,0.935,1.221,1.33,1.699,2.124
Transformer + velocity all,5000,walkingtogether,0.318,0.611,0.824,0.865,0.939,1.503
Transformer + velocity all,6000,walking,0.37,0.608,0.767,0.847,0.969,1.177
Transformer + velocity all,6000,eating,0.261,0.434,0.632,0.749,0.913,1.368
Transformer + velocity all,6000,smoking,0.284,0.519,0.915,0.979,1.087,1.761
Transformer + velocity all,6000,discussion,0.325,0.704,0.97,1.009,1.346,1.806
Transformer + velocity all,6000,directions,0.415,0.64,0.789,0.89,0.982,1.501
Transformer + velocity all,6000,greeting,0.547,0.885,1.275,1.44,1.731,2.036
Transformer + velocity all,6000,phoning,0.625,1.156,1.57,1.705,1.587,1.922
Transformer + velocity all,6000,posing,0.355,0.687,1.286,1.564,1.742,2.408
Transformer + velocity all,6000,purchases,0.581,0.815,1.131,1.187,1.54,2.406
Transformer + velocity all,6000,sitting,0.417,0.661,1.075,1.261,1.427,1.977
Transformer + velocity all,6000,sittingdown,0.421,0.793,1.178,1.337,1.555,2.313
Transformer + velocity all,6000,takingphoto,0.277,0.55,0.839,0.973,1.085,1.471
Transformer + velocity all,6000,waiting,0.345,0.672,1.129,1.305,1.621,2.38
Transformer + velocity all,6000,walkingdog,0.58,0.928,1.227,1.34,1.634,2.057
Transformer + velocity all,6000,walkingtogether,0.317,0.603,0.802,0.848,0.934,1.503
Transformer + velocity all,7000,walking,0.366,0.595,0.769,0.846,0.94,1.099
Transformer + velocity all,7000,eating,0.247,0.398,0.594,0.735,0.931,1.324
Transformer + velocity all,7000,smoking,0.281,0.509,0.887,0.952,1.071,1.802
Transformer + velocity all,7000,discussion,0.313,0.679,0.932,0.978,1.325,1.729
Transformer + velocity all,7000,directions,0.413,0.636,0.788,0.879,0.967,1.507
Transformer + velocity all,7000,greeting,0.543,0.883,1.288,1.462,1.732,2.033
Transformer + velocity all,7000,phoning,0.624,1.146,1.542,1.674,1.554,1.787
Transformer + velocity all,7000,posing,0.317,0.637,1.241,1.519,1.712,2.364
Transformer + velocity all,7000,purchases,0.584,0.819,1.125,1.187,1.546,2.342
Transformer + velocity all,7000,sitting,0.415,0.661,1.073,1.262,1.427,1.976
Transformer + velocity all,7000,sittingdown,0.423,0.797,1.163,1.31,1.519,2.185
Transformer + velocity all,7000,takingphoto,0.284,0.568,0.86,0.991,1.092,1.51
Transformer + velocity all,7000,waiting,0.342,0.67,1.137,1.323,1.657,2.4
Transformer + velocity all,7000,walkingdog,0.579,0.925,1.216,1.324,1.663,2.032
Transformer + velocity all,7000,walkingtogether,0.315,0.592,0.763,0.818,0.936,1.54
