model,step,step_loss
RNN,5900,0.6168
RNN,5910,0.4993
RNN,5920,0.5317
RNN,5930,0.4895
RNN,5940,0.6008
RNN,5950,0.4824
RNN,5960,0.4489
RNN,5970,0.5111
RNN,5980,0.5817
RNN,5990,0.5571
RNN,6000,0.5072
RNN,6010,0.6958
RNN,6020,0.5243
RNN,6030,0.5527
RNN,6040,0.4387
RNN,6050,0.4768
RNN,6060,0.4657
RNN,6070,0.5284
RNN,6080,0.4124
RNN,6090,0.4426
RNN,6100,0.6437
RNN,6110,0.4747
RNN,6120,0.5199
RNN,6130,0.4919
RNN,6140,0.5356
RNN,6150,0.5464
RNN,6160,0.5333
RNN,6170,0.4984
RNN,6180,0.5266
RNN,6190,0.4979
RNN,6200,0.4014
RNN,6210,0.5404
RNN,6220,0.4571
RNN,6230,0.527
RNN,6240,0.4698
RNN,6250,0.4066
RNN,6260,0.4321
RNN,6270,0.5649
RNN,6280,0.5857
RNN,6290,0.5479
RNN,6300,0.5317
RNN,6310,0.3817
RNN,6320,0.5368
RNN,6330,0.5631
RNN,6340,0.4636
RNN,6350,0.5083
RNN,6360,0.6158
RNN,6370,0.4573
RNN,6380,0.5415
RNN,6390,0.5881
RNN,6400,0.4528
RNN,6410,0.4795
RNN,6420,0.6383
RNN,6430,0.5143
RNN,6440,0.4577
RNN,6450,0.5424
RNN,6460,0.4021
RNN,6470,0.413
RNN,6480,0.4779
RNN,6490,0.3706
RNN,6500,0.6533
RNN,6510,0.5544
RNN,6520,0.3887
RNN,6530,0.423
RNN,6540,0.4225
RNN,6550,0.4408
RNN,6560,0.4672
RNN,6570,0.4702
RNN,6580,0.6634
RNN,6590,0.4804
RNN,6600,0.4298
RNN,6610,0.429
RNN,6620,0.445
RNN,6630,0.4868
RNN,6640,0.4745
RNN,6650,0.4808
RNN,6660,0.3997
RNN,6670,0.3315
RNN,6680,0.461
RNN,6690,0.4058
RNN,6700,0.5246
RNN,6710,0.4136
RNN,6720,0.3903
RNN,6730,0.4303
RNN,6740,0.358
RNN,6750,0.3692
RNN,6760,0.5711
RNN,6770,0.5142
RNN,6780,0.4774
RNN,6790,0.3632
RNN,6800,0.4858
RNN,6810,0.4752
RNN,6820,0.4524
RNN,6830,0.4868
RNN,6840,0.3838
RNN,6850,0.3895
RNN,6860,0.4367
RNN,6870,0.3489
RNN,6880,0.4606
RNN,6890,0.6215
RNN,6900,0.3931
RNN,6910,0.438
RNN,6920,0.4423
RNN,6930,0.4147
RNN,6940,0.454
RNN,6950,0.3493
RNN,6960,0.3948
RNN,6970,0.3977
RNN,6980,0.4037
RNN,6990,0.4513
RNN,7000,0.4045
RNN,7010,0.4675
RNN,7020,0.4088
RNN,7030,0.3767
RNN,7040,0.3961
RNN,7050,0.4355
RNN,7060,0.4045
RNN,7070,0.5084
RNN,7080,0.438
RNN,7090,0.3872
RNN,7100,0.4936
RNN,7110,0.3976
RNN,7120,0.428
RNN,7130,0.6144
RNN,7140,0.5428
RNN,7150,0.6148
RNN,7160,0.4625
RNN,7170,0.4333
RNN,7180,0.3527
RNN,7190,0.3934
RNN,7200,0.4624
RNN,7210,0.5383
RNN,7220,0.3925
RNN,7230,0.407
RNN,7240,0.4083
RNN,7250,0.3528
RNN,7260,0.4959
RNN,7270,0.3417
RNN,7280,0.5075
RNN,7290,0.432
RNN,7300,0.3585
RNN,7310,0.4158
RNN,7320,0.3967
RNN,7330,0.451
RNN,7340,0.5448
RNN,7350,0.3039
RNN,7360,0.3879
RNN,7370,0.3439
RNN,7380,0.4135
RNN,7390,0.4357
RNN,7400,0.3323
RNN,7410,0.4753
RNN,7420,0.7706
RNN,7430,0.4482
RNN,7440,0.4015
RNN,7450,0.4236
RNN,7460,0.4255
RNN,7470,0.4153
RNN,7480,0.4757
RNN,7490,0.3947
RNN,7500,0.425
RNN,7510,0.5191
RNN,7520,0.3646
RNN,7530,0.4402
RNN,7540,0.2955
RNN,7550,0.3143
RNN,7560,0.4584
RNN,7570,0.4526
RNN,7580,0.3691
RNN,7590,0.3341
RNN,7600,0.4196
RNN,7610,0.3508
RNN,7620,0.8527
RNN,7630,0.4393
RNN,7640,0.3681
RNN,7650,0.3695
RNN,7660,0.4035
RNN,7670,0.4425
RNN,7680,0.3995
RNN,7690,0.5173
RNN,7700,0.3985
RNN,7710,0.4173
RNN,7720,0.3391
RNN,7730,0.4322
RNN,7740,0.371
RNN,7750,0.4192
RNN,7760,0.2898
RNN,7770,0.3907
RNN,7780,0.438
RNN,7790,0.3173
RNN,7800,0.4315
RNN,7810,0.3566
RNN,7820,0.3863
RNN,7830,0.3756
RNN,7840,0.3999
RNN,7850,0.4275
RNN,7860,0.3281
RNN,7870,0.3977
RNN,7880,0.3679
RNN,7890,0.3561
RNN,7900,0.3057
RNN,7910,0.3687
RNN,7920,0.4457
RNN,7930,0.3924
RNN,7940,0.3298
RNN,7950,0.3669
RNN,7960,0.4396
RNN,7970,0.3563
RNN,7980,0.3654
RNN,7990,0.3931
RNN,8000,0.3723
RNN,8010,0.3477
RNN,8020,0.3275
RNN,8030,0.332
RNN,8040,0.3345
RNN,8050,0.3501
RNN,8060,0.4674
RNN,8070,0.5402
RNN,8080,0.3386
RNN,8090,0.3591
RNN,8100,0.3389
RNN,8110,0.42
RNN,8120,0.3124
RNN,8130,0.3299
RNN,8140,0.441
RNN,8150,0.3725
RNN,8160,0.3919
RNN,8170,0.3657
RNN,8180,0.3934
RNN,8190,0.4132
RNN,8200,0.3867
RNN,8210,0.4256
RNN,8220,0.3716
RNN,8230,0.3468
RNN,8240,0.3375
RNN,8250,0.3743
RNN,8260,0.3075
RNN,8270,0.3513
RNN,8280,0.341
RNN,8290,0.3833
RNN,8300,0.3437
RNN,8310,0.3225
RNN,8320,0.3307
RNN,8330,0.4281
RNN,8340,0.3431
RNN,8350,0.3109
RNN,8360,0.3692
RNN,8370,0.3951
RNN,8380,0.3367
RNN,8390,0.2714
RNN,8400,0.3564
RNN,8410,0.3976
RNN,8420,0.3647
RNN,8430,0.3933
RNN,8440,0.3614
RNN,8450,0.4889
RNN,8460,0.3493
RNN,8470,0.4557
RNN,8480,0.4092
RNN,8490,0.3778
RNN,8500,0.3092
RNN,8510,0.3435
RNN,8520,0.3182
RNN,8530,0.5181
RNN,8540,0.3771
RNN,8550,0.3249
RNN,8560,0.3745
RNN,8570,0.394
RNN,8580,0.3329
RNN,8590,0.3495
RNN,8600,0.4098
RNN,8610,0.3383
RNN,8620,0.4213
RNN,8630,0.2518
RNN,8640,0.3579
RNN,8650,0.2941
RNN,8660,0.3483
RNN,8670,0.3468
RNN,8680,0.347
RNN,8690,0.4051
RNN,8700,0.4622
RNN,8710,0.4339
RNN,8720,0.502
RNN,8730,0.4211
RNN,8740,0.3371
RNN,8750,0.3458
RNN,8760,0.414
RNN,8770,0.2341
RNN,8780,0.302
RNN,8790,0.3647
RNN,8800,0.3586
RNN,8810,0.2942
RNN,8820,0.4345
RNN,8830,0.3324
RNN,8840,0.3555
RNN,8850,0.3825
RNN,8860,0.3075
RNN,8870,0.3033
RNN,8880,0.3325
RNN,8890,0.3472
RNN,8900,0.3735
RNN,8910,0.3274
RNN,8920,0.4199
RNN,8930,0.3155
RNN,8940,0.378
RNN,8950,0.3089
RNN,8960,0.5147
RNN,8970,0.3125
RNN,8980,0.3627
RNN,8990,0.3519
RNN,9000,0.3501
RNN,9010,0.3165
RNN,9020,0.4522
RNN,9030,0.3403
RNN,9040,0.3751
RNN,9050,0.3517
RNN,9060,0.3537
RNN,9070,0.2862
RNN,9080,0.3238
RNN,9090,0.2963
RNN,9100,0.3454
RNN,9110,0.4048
RNN,9120,0.2579
RNN,9130,0.3539
RNN,9140,0.3173
RNN,9150,0.452
RNN,9160,0.2932
RNN,9170,0.341
RNN,9180,0.2464
RNN,9190,0.303
RNN,9200,0.3455
RNN,9210,0.3117
RNN,9220,0.3154
RNN,9230,0.3322
RNN,9240,0.332
RNN,9250,0.3451
RNN,9260,0.3583
RNN,9270,0.3157
RNN,9280,0.3161
RNN,9290,0.3715
RNN,9300,0.36
RNN,9310,0.258
RNN,9320,0.3428
RNN,9330,0.3134
RNN,9340,0.2951
RNN,9350,0.3594
RNN,9360,0.3366
RNN,9370,0.4088
RNN,9380,0.2463
RNN,9390,0.3728
RNN,9400,0.3179
RNN,9410,0.254
RNN,9420,0.3921
RNN,9430,0.3288
RNN,9440,0.4032
RNN,9450,0.3589
RNN,9460,0.374
RNN,9470,0.3428
RNN,9480,0.3013
RNN,9490,0.3144
RNN,9500,0.3341
RNN,9510,0.3126
RNN,9520,0.4148
RNN,9530,0.3068
RNN,9540,0.3921
RNN,9550,0.3094
RNN,9560,0.3321
RNN,9570,0.3473
RNN,9580,0.2431
RNN,9590,0.2727
RNN,9600,0.2443
RNN,9610,0.3262
RNN,9620,0.3042
RNN,9630,0.351
RNN,9640,0.3273
RNN,9650,0.3068
RNN,9660,0.4211
RNN,9670,0.2982
RNN,9680,0.3229
RNN,9690,0.3724
RNN,9700,0.2733
RNN,9710,0.2824
RNN,9720,0.272
RNN,9730,0.3177
RNN,9740,0.3603
RNN,9750,0.3044
RNN,9760,0.2749
RNN,9770,0.3029
RNN,9780,0.3148
RNN,9790,0.266
RNN,9800,0.314
RNN,9810,0.2854
RNN,9820,0.3846
